epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.87496,2.67022,3.60347,4.27708,0,0,0,0,2.84168,3.7295,4.1576,2e-05,2e-05,2e-05
2,6.37977,2.59895,3.67658,4.31953,0,0,0,0,2.84136,3.72859,4.1563,5.9406e-05,5.9406e-05,5.9406e-05
3,8.46264,2.68051,3.60447,4.30343,0,0,0,0,2.84106,3.7278,4.15501,9.802e-05,9.802e-05,9.802e-05
4,10.5152,2.68474,3.56661,4.2587,0,0,0,0,2.8408,3.72707,4.15383,0.000135842,0.000135842,0.000135842
5,12.5871,2.71399,3.52827,4.2483,0,0,0,0,2.84061,3.72648,4.15276,0.000172872,0.000172872,0.000172872
6,14.9622,2.58559,3.51215,4.24061,0,0,0,0,2.84061,3.72648,4.15276,0.00020911,0.00020911,0.00020911
7,17.3364,2.59636,3.45888,4.16437,0,0,0,0,2.84044,3.72621,4.15129,0.000244556,0.000244556,0.000244556
8,19.6114,2.49457,3.52302,4.16314,0,0,0,0,2.84053,3.72652,4.15002,0.00027921,0.00027921,0.00027921
9,21.6331,2.75183,3.34082,4.17326,0,0,0,0,2.84053,3.72652,4.15002,0.000313072,0.000313072,0.000313072
10,23.7216,2.60828,3.38917,4.14263,0,0,0,0,2.84109,3.72829,4.14879,0.000346142,0.000346142,0.000346142
11,25.7833,2.66168,3.26695,4.1403,0,0,0,0,2.84109,3.72829,4.14879,0.00037842,0.00037842,0.00037842
12,27.788,2.7439,3.31086,4.09291,0,0,0,0,2.84226,3.73192,4.14838,0.000409906,0.000409906,0.000409906
13,29.7595,2.69644,3.13769,4.05785,0,0,0,0,2.84226,3.73192,4.14838,0.0004406,0.0004406,0.0004406
14,32.0237,2.61426,3.1778,4.02553,0,0,0,0,2.84226,3.73192,4.14838,0.000470502,0.000470502,0.000470502
15,34.2374,2.6895,3.03402,4.05176,0,0,0,0,2.84534,3.73947,4.14977,0.000499612,0.000499612,0.000499612
16,36.3498,2.72108,3.01199,4.05254,0,0,0,0,2.84534,3.73947,4.14977,0.00052793,0.00052793,0.00052793
17,38.4684,2.61121,2.9995,3.92143,0,0,0,0,2.84534,3.73947,4.14977,0.000555456,0.000555456,0.000555456
18,40.7421,2.5838,2.93436,3.97708,0,0,0,0,2.85205,3.75409,4.15909,0.00058219,0.00058219,0.00058219
19,42.9051,2.65949,2.81233,3.94481,0,0,0,0,2.85205,3.75409,4.15909,0.000608132,0.000608132,0.000608132
20,45.0458,2.59685,2.7845,3.9681,0,0,0,0,2.85205,3.75409,4.15909,0.000633282,0.000633282,0.000633282
21,47.2324,2.64579,2.79293,3.90711,0,0,0,0,2.86293,3.78051,4.18336,0.00065764,0.00065764,0.00065764
22,49.327,2.55885,2.67307,3.91033,0,0,0,0,2.86293,3.78051,4.18336,0.000681206,0.000681206,0.000681206
23,51.3532,2.53427,2.58298,4.00871,0,0,0,0,2.86293,3.78051,4.18336,0.00070398,0.00070398,0.00070398
24,53.4538,2.60149,2.65181,4.01407,0,0,0,0,2.86293,3.78051,4.18336,0.000725962,0.000725962,0.000725962
25,55.5207,2.61327,2.58531,3.9443,0,0,0,0,2.8779,3.82495,4.24364,0.000747152,0.000747152,0.000747152
26,57.5329,2.59475,2.5726,3.86172,0,0,0,0,2.8779,3.82495,4.24364,0.00076755,0.00076755,0.00076755
27,59.5846,2.54056,2.50099,3.88996,0,0,0,0,2.8779,3.82495,4.24364,0.000787156,0.000787156,0.000787156
28,61.714,2.4858,2.50162,3.84897,0,0,0,0,2.8779,3.82495,4.24364,0.00080597,0.00080597,0.00080597
29,63.8902,2.51543,2.48378,3.77979,0,0,0,0,2.8779,3.82495,4.24364,0.000823992,0.000823992,0.000823992
30,66.0377,2.55516,2.44147,3.80752,0,0,0,0,2.89614,3.90082,4.35216,0.000841222,0.000841222,0.000841222
31,68.1172,2.55204,2.37875,3.76663,0,0,0,0,2.89614,3.90082,4.35216,0.00085766,0.00085766,0.00085766
32,70.2666,2.4579,2.58633,3.80492,0,0,0,0,2.89614,3.90082,4.35216,0.000873306,0.000873306,0.000873306
33,72.4948,2.49814,2.44102,3.84798,0,0,0,0,2.89614,3.90082,4.35216,0.00088816,0.00088816,0.00088816
34,74.6948,2.56104,2.45902,3.7541,0,0,0,0,2.89614,3.90082,4.35216,0.000902222,0.000902222,0.000902222
35,76.9981,2.49198,2.29057,3.80189,0,0,0,0,2.89614,3.90082,4.35216,0.000915492,0.000915492,0.000915492
